Date,ChangePoint,MeanBefore,MeanAfter,StdDev
2009-06-12,True,0.006616162796674778,0.0003758546637937603,0.019381399885816667
2009-07-16,True,-0.006855059063897683,0.0016513945403317327,0.019307803588574642
2009-08-14,True,0.008850129991595321,0.0012897355822538968,0.01884008344522847
2010-05-04,True,0.000986346888185367,-0.004771422429813345,0.021167256333218146
2010-07-06,True,-0.00012389562604756847,0.007034895996479581,0.0210125044197729
2010-08-05,True,0.0005189346420977266,-0.012198842073858986,0.020923049031858234
2010-08-25,True,-0.00016851274795398757,0.003665121227057935,0.018599679220299346
2011-04-12,True,0.001227913083844121,-0.00011682492326915165,0.01606665826517329
2011-06-28,True,-0.0037268499807837185,0.00012931314883411426,0.013826769704594065
2011-09-09,True,0.0024148634300266104,-3.440821801348574e-05,0.01305078918547503
2012-06-26,True,-0.0014563914883850356,0.000520788437350705,0.012703339064063741
